language,participant_id,words,minutes,wpm,types,tokens,ttr,english_types,english_tokens,english_ttr,spanish_types,spanish_tokens,spanish_ttr,disfluencies,fluency_score
spa,217,380,3.68,103.267,143,353,0.405,2,2,1.0,141,351,0.399,27,14.074
spa,207,266,3.45,77.091,108,257,0.42,1,1,1.0,107,256,0.416,9,29.556
eng,211,386,4.273,90.342,143,376,0.38,143,376,0.38,0,0,0.0,10,38.6
eng,218,322,3.361,95.819,107,302,0.354,107,302,0.354,0,0,0.0,20,16.1
spa,212,745,7.577,98.329,213,709,0.3,0,0,0,213,709,0.3,36,20.694
spa,211,172,3.684,46.684,59,168,0.351,1,1,1.0,58,167,0.345,4,43.0
eng,207,424,4.392,96.549,119,359,0.331,119,359,0.331,0,0,0.0,65,6.523
spa,218,392,5.766,67.986,120,366,0.328,6,8,0.75,114,358,0.311,26,15.077
eng,217,300,3.061,97.995,131,294,0.446,131,294,0.446,0,0,0.0,6,50.0
spa,219,288,3.039,94.767,116,281,0.413,0,0,0,116,281,0.413,7,41.143
spa,213,210,3.613,58.117,93,209,0.445,0,0,0,93,209,0.445,1,210.0
spa,206,286,4.001,71.485,100,266,0.376,1,3,0.333,99,263,0.372,20,14.3
eng,213,82,1.98,41.414,37,74,0.5,37,74,0.5,0,0,0.0,8,10.25
spa,219,300,4.173,71.897,117,279,0.419,27,33,0.818,88,246,0.315,21,14.286
spa,210,237,4.916,48.207,83,230,0.361,0,0,0,83,230,0.361,7,33.857
eng,206,282,3.867,72.931,91,265,0.343,91,265,0.343,0,0,0.0,17,16.588
